FAMILY Q
Root a=[263/1800,56167/60000], lambda=[7/30,3/10].
Splits: tag | axis | midpoint
R | a | 194801/360000
R0 | lambda | 4/15
R00 | a | 27489/80000
R000 | lambda | 1/4
R0000 | a | 352601/1440000
R00001 | lambda | 29/120
R001 | lambda | 1/4
R0010 | a | 637003/1440000
R00100 | lambda | 29/120
R01 | a | 27489/80000
R1 | lambda | 4/15
R10 | a | 531803/720000
Empty boxes: tag | a lower | a upper | lambda lower | lambda upper
Leaves: tag | a lower | a upper | lambda lower | lambda upper | incoming numerator
  | total upper numerator
R00000 | 263/1800 | 352601/1440000 | 7/30 | 1/4 | 813758607 | 969443356
R000010 | 352601/1440000 | 27489/80000 | 7/30 | 29/120 | 828356622 | 984041371
R0001100 | 352601/1440000 | 847403/2880000 | 1/4 | 31/120 | 859265415 | 992749302
R0001101 | 847403/2880000 | 27489/80000 | 1/4 | 31/120 | 864048902 | 997532789
R0001110 | 352601/1440000 | 847403/2880000 | 31/120 | 4/15 | 861372811 | 984814350
R0001111 | 847403/2880000 | 27489/80000 | 31/120 | 4/15 | 865493821 | 988935360
R001000000 | 27489/80000 | 2121409/5760000 | 7/30 | 19/80 | 840161189 | 995845938
R001000001 | 2121409/5760000 | 226361/576000 | 7/30 | 19/80 | 839480216 |
  995164965
R001000010 | 27489/80000 | 2121409/5760000 | 19/80 | 29/120 | 843860486 |
  993718143
R001000011 | 2121409/5760000 | 226361/576000 | 19/80 | 29/120 | 840024211 |
  989881868
R0010001 | 226361/576000 | 637003/1440000 | 7/30 | 29/120 | 842314654 | 997999403
R0010010 | 27489/80000 | 226361/576000 | 29/120 | 1/4 | 851043418 | 995261935
R0010011 | 226361/576000 | 637003/1440000 | 29/120 | 1/4 | 842803333 | 987021850
R0010100 | 637003/1440000 | 472069/960000 | 7/30 | 29/120 | 839412464 | 995097213
R0010101 | 472069/960000 | 194801/360000 | 7/30 | 29/120 | 839173323 | 994858072
R001011 | 637003/1440000 | 194801/360000 | 29/120 | 1/4 | 846223072 | 990441589
R00110 | 27489/80000 | 637003/1440000 | 1/4 | 4/15 | 861071699 | 994555586
R00111 | 637003/1440000 | 194801/360000 | 1/4 | 4/15 | 845389498 | 978873385
R010 | 263/1800 | 27489/80000 | 4/15 | 3/10 | 883493106 | 997546965
R011 | 27489/80000 | 194801/360000 | 4/15 | 3/10 | 872490155 | 986544014
R1000000 | 194801/360000 | 1700609/2880000 | 7/30 | 29/120 | 838554563 | 994239312
R1000001 | 1700609/2880000 | 61427/96000 | 7/30 | 29/120 | 827004839 | 982689588
R100001 | 194801/360000 | 61427/96000 | 29/120 | 1/4 | 843257192 | 987475709
R10001 | 61427/96000 | 531803/720000 | 7/30 | 1/4 | 820950855 | 976635604
R1001 | 194801/360000 | 531803/720000 | 1/4 | 4/15 | 851645932 | 985129819
R101 | 531803/720000 | 56167/60000 | 7/30 | 4/15 | 796963934 | 952648683
R11 | 194801/360000 | 56167/60000 | 4/15 | 3/10 | 862059757 | 976113616
Leaf R00000: l | r | polynomial | upper numerator
0 | 1279809/3526010 | B1 | 829913
1279809/3526010 | 8958663/10282070 | 0:Nlo | 263398159
8958663/10282070 | 9/10 | 0:Nhi | 56060255
9/10 | 104142477/106082800 | 0:Nhi | 230887479
104142477/106082800 | 99/100 | 1:Nhi | 30629883
99/100 | 22096209/22160600 | B11/25 | 21019474
22096209/22160600 | 2781678/2770075 | 1:Hlip | 20427323
2781678/2770075 | 245530453/239766600 | 1:H | 53102626
245530453/239766600 | 26/25 | 1:R | 44322292
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 29741704
Incoming sum 839955288.
Leaf R0000100: l | r | polynomial | upper numerator
0 | 3839427/8474030 | B1 | 3919541
3839427/8474030 | 26875989/30518210 | 0:Nlo | 296069957
26875989/30518210 | 9/10 | 0:Nhi | 38961972
9/10 | 121128463/124124200 | 0:Nhi | 209381869
121128463/124124200 | 2131678/2145075 | 1:Hlip | 53288882
2131678/2145075 | 565266359/554299800 | 1:H | 66684942
565266359/554299800 | 26/25 | 1:R | 55353521
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 29741704
Incoming sum 842938568.
Leaf R00001010: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149868
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 4215582/4442675 | 0:Nhi | 123125371
4215582/4442675 | 315037067346/325661405525 | 0:Hlip | 56009646
315037067346/325661405525 | 1806678/1832575 | 1:Hlip | 50971398
1806678/1832575 | 159867953/157266600 | 1:H | 76033813
159867953/157266600 | 26/25 | 1:R | 63574943
26/25 | 78716421/73480600 | 1:R | 93621382
78716421/73480600 | 27/25 | P | 25546498
Incoming sum 842792129.
Leaf R000010110: l | r | polynomial | upper numerator
0 | 8958663/18370070 | B1 | 6560348
8958663/18370070 | 62710641/70990490 | 0:Nlo | 306468740
62710641/70990490 | 9/10 | 0:Nhi | 33801147
9/10 | 117458421/124124200 | 0:Nhi | 115617361
117458421/124124200 | 244011421/248248400 | 0:Hlip | 111984000
244011421/248248400 | 2131678/2145075 | 1:Hlip | 29729254
2131678/2145075 | 1507069013/1478132800 | 1:H | 66109299
1507069013/1478132800 | 26/25 | 1:R | 55924429
26/25 | 78716421/73480600 | 1:R | 93621382
78716421/73480600 | 27/25 | P | 24816784
Incoming sum 844632744.
Leaf R000010111: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149866
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 117458421/124124200 | 0:Nhi | 115553131
117458421/124124200 | 244011421/248248400 | 0:Hlip | 105771758
244011421/248248400 | 2131678/2145075 | 1:Hlip | 29729254
2131678/2145075 | 82510466186807/81020800783100 | 1:H | 62834767
82510466186807/81020800783100 | 26/25 | 1:R | 59185583
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 28894760
Incoming sum 845414509.
Leaf R00001100: l | r | polynomial | upper numerator
0 | 3839427/8474030 | B1 | 3919541
3839427/8474030 | 26875989/30518210 | 0:Nlo | 296069958
26875989/30518210 | 9/10 | 0:Nhi | 38961972
9/10 | 138890963/141624200 | 0:Nhi | 226373016
138890963/141624200 | 279098921/283248400 | 0:Hlip | 16771416
279098921/283248400 | 99/100 | 1:Hlip | 16000904
99/100 | 19558709/19660600 | B11/25 | 14175195
19558709/19660600 | 2456678/2457575 | 1:Hlip | 12823330
2456678/2457575 | 371807729/363885600 | 1:H | 58037653
371807729/363885600 | 26/25 | 1:R | 50317936
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 28068013
Incoming sum 851055114.
Leaf R00001101: l | r | polynomial | upper numerator
0 | 3839427/8474030 | B1 | 3919541
3839427/8474030 | 26875989/30518210 | 0:Nlo | 296069958
26875989/30518210 | 9/10 | 0:Nhi | 38961972
9/10 | 104142477/106082800 | 0:Nhi | 229979825
104142477/106082800 | 99/100 | 0:Hlip | 30176213
99/100 | 22096209/22160600 | B11/25 | 21019474
22096209/22160600 | 2781678/2770075 | 1:Hlip | 20427323
2781678/2770075 | 1963044791/1918132800 | 1:H | 51334165
1963044791/1918132800 | 26/25 | 1:R | 46084743
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 27261078
Incoming sum 854770472.
Leaf R000011100: l | r | polynomial | upper numerator
0 | 8958663/18370070 | B1 | 6560348
8958663/18370070 | 62710641/70990490 | 0:Nlo | 306468740
62710641/70990490 | 9/10 | 0:Nhi | 33801147
9/10 | 135045921/141624200 | 0:Nhi | 136983343
135045921/141624200 | 99/100 | 0:Hlip | 112529761
99/100 | 19558709/19660600 | B11/25 | 14175195
19558709/19660600 | 2456678/2457575 | 1:Hlip | 12823330
2456678/2457575 | 371807729/363885600 | 1:H | 58037653
371807729/363885600 | 26/25 | 1:R | 50317936
26/25 | 78716421/73480600 | 1:R | 93621382
78716421/73480600 | 27/25 | P | 24104527
Incoming sum 849423362.
Leaf R000011101: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149868
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 135045921/141624200 | 0:Nhi | 136895059
135045921/141624200 | 19558709/19660600 | 0:Hlip | 119314017
19558709/19660600 | 2456678/2457575 | 1:Hlip | 12823330
2456678/2457575 | 27145913403871/26594184866600 | 1:H | 55179853
27145913403871/26594184866600 | 26/25 | 1:R | 53172917
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 28068013
Incoming sum 848898447.
Leaf R00001111: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149868
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 50877807/53041400 | 0:Nhi | 154326316
50877807/53041400 | 99/100 | 0:Hlip | 95436799
99/100 | 22096209/22160600 | B11/25 | 21019474
22096209/22160600 | 2781678/2770075 | 1:Hlip | 20427323
2781678/2770075 | 1963044791/1918132800 | 1:H | 51334165
1963044791/1918132800 | 26/25 | 1:R | 46084743
26/25 | 78716421/73480600 | 1:R | 93621382
78716421/73480600 | 27/25 | P | 23409389
Incoming sum 859568669.
Leaf R00010: l | r | polynomial | upper numerator
0 | 1279809/3526010 | B1 | 829913
1279809/3526010 | 8958663/10282070 | 0:Nlo | 263398157
8958663/10282070 | 9/10 | 0:Nhi | 56060255
9/10 | 99/100 | 0:Nhi | 261607230
99/100 | 1551882547346/1535160780525 | B11/25 | 64556624
1551882547346/1535160780525 | 4081678/4020075 | 1:Hlip | 13541357
4081678/4020075 | 359723631/349766600 | 1:H | 36801109
359723631/349766600 | 26/25 | 1:R | 32557434
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 26473572
Incoming sum 845361831.
Leaf R0001100: l | r | polynomial | upper numerator
0 | 3839427/8474030 | B1 | 3919541
3839427/8474030 | 26875989/30518210 | 0:Nlo | 296069955
26875989/30518210 | 9/10 | 0:Nhi | 38961973
9/10 | 24021746/24265525 | 0:Nhi | 260298061
24021746/24265525 | 99/100 | 0:Hlip | 170774
99/100 | 54624633/54321200 | B11/25 | 47386840
54624633/54321200 | 3431678/3395075 | 1:Hlip | 15407229
3431678/3395075 | 120957259/117906640 | 1:H | 41380880
120957259/117906640 | 26/25 | 1:R | 39660410
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 26473572
Incoming sum 859265415.
Leaf R0001101: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149867
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 91721437/97062100 | 0:Nhi | 111829617
91721437/97062100 | 99/100 | 0:Hlip | 138122428
99/100 | 54624633/54321200 | B11/25 | 47386840
54624633/54321200 | 3431678/3395075 | 1:Hlip | 15407229
3431678/3395075 | 120957259/117906640 | 1:H | 41380880
120957259/117906640 | 26/25 | 1:R | 39660410
26/25 | 78716421/73480600 | 1:R | 93621382
78716421/73480600 | 27/25 | P | 22731039
Incoming sum 864048902.
Leaf R0001110: l | r | polynomial | upper numerator
0 | 3839427/8474030 | B1 | 3919541
3839427/8474030 | 26875989/30518210 | 0:Nlo | 296069955
26875989/30518210 | 9/10 | 0:Nhi | 38961972
9/10 | 99/100 | 0:Nhi | 260472637
99/100 | 1551882547346/1535160780525 | B11/25 | 64556624
1551882547346/1535160780525 | 4081678/4020075 | 1:Hlip | 13541357
4081678/4020075 | 617/600 | 1:H | 36410544
617/600 | 26/25 | 1:R | 32948653
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 24955348
Incoming sum 861372811.
Leaf R0001111: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149864
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 34226209/36160600 | 0:Nhi | 116216917
34226209/36160600 | 99/100 | 0:Hlip | 133587873
99/100 | 4635239252038/4605482341575 | B11/25 | 50181647
4635239252038/4605482341575 | 1551882547346/1535160780525 | 0:Hlip | 14174961
1551882547346/1535160780525 | 4081678/4020075 | 1:Hlip | 13541357
4081678/4020075 | 617/600 | 1:H | 36410544
617/600 | 26/25 | 1:R | 32948653
26/25 | 39036897/36740300 | 1:R | 65731666
39036897/36740300 | 27/25 | P | 48791129
Incoming sum 865493821.
Leaf R001000000: l | r | polynomial | upper numerator
0 | 11518281/21214090 | B1 | 13910506
11518281/21214090 | 80627967/90898630 | 0:Nlo | 319665452
80627967/90898630 | 9/10 | 0:Nhi | 26719041
9/10 | 33290307/35541400 | 0:Nhi | 88609715
33290307/35541400 | 318048197346/325661405525 | 0:Hlip | 109203691
318048197346/325661405525 | 1806678/1832575 | 1:Hlip | 23259910
1806678/1832575 | 426603/424670 | 1:H | 44641942
426603/424670 | 159867953/157266600 | 0:H | 31391871
159867953/157266600 | 26/25 | 1:R | 63574943
26/25 | 25050237370368/23392674799895 | 1:R | 92327789
