S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R0001101101010011 | 4 | 1/8
R00011011010100110 | 5 | 3/8
R000110110101001101 | 0 | 325913/576000
R00011011010100111 | 5 | 3/8
R000110110101001111 | 0 | 325913/576000
R0001101101010011110 | 1 | 2799783/1664000
R00011011010100111100 | 2 | 127/480
R000110110101001111000 | 3 | 15/16
R0001101101010011110001 | 4 | 11/80
R00011011010100111100011 | 5 | 7/16
R00011011010100111101 | 2 | 127/480
R00011011011 | 5 | 1/4
R000110110110 | 0 | 311801/480000
R0001101101100 | 1 | 8237989/4160000
R00011011011000 | 2 | 61/240
R000110110111 | 0 | 311801/480000
R0001101101110 | 1 | 8237989/4160000
R00011011011100 | 2 | 61/240
R000110110111001 | 3 | 7/8
R0001101101110010 | 4 | 7/40
R00011011011100100 | 5 | 3/8
R000110110111001001 | 0 | 325913/576000
R0001101101110010010 | 1 | 2799783/1664000
R00011011011100100100 | 2 | 127/480
R000110110111001001000 | 3 | 13/16
R0001101101110010010001 | 4 | 13/80
R00011011011100101 | 5 | 3/8
R000110110111001011 | 0 | 325913/576000
R0001101101110011 | 4 | 7/40
R00011011011100110 | 5 | 3/8
R000110110111001101 | 0 | 325913/576000
R0001101101110011010 | 1 | 2799783/1664000
R00011011011100110100 | 2 | 127/480
R000110110111001101000 | 3 | 15/16
R0001101101110011010000 | 4 | 13/80
R00011011011100110100000 | 5 | 7/16
R00011011011100110100001 | 5 | 7/16
R0001101101110011010001 | 4 | 13/80
R00011011011100110100010 | 5 | 7/16
R00011011011100110100011 | 5 | 7/16
R000110110111001101001 | 3 | 15/16
R0001101101110011010010 | 4 | 13/80
R0001101101110011010011 | 4 | 13/80
R00011011011100110101 | 2 | 127/480
R000110110111001101011 | 3 | 15/16
R0001101101110011010111 | 4 | 13/80
R00011011011100111 | 5 | 3/8
R000110110111001111 | 0 | 325913/576000
R0001101101110011110 | 1 | 2799783/1664000
R00011011011100111100 | 2 | 127/480
R00011011011100111101 | 2 | 127/480
R000110111 | 3 | 3/4
R0001101110 | 4 | 3/20
R00011011100 | 5 | 1/4
R000110111001 | 0 | 311801/480000
R00011011101 | 5 | 1/4
R000110111011 | 0 | 311801/480000
R0001101110110 | 1 | 8237989/4160000
R0001101111 | 4 | 3/20
R00011011110 | 5 | 1/4
R000110111101 | 0 | 311801/480000
R0001101111010 | 1 | 8237989/4160000
R00011011110100 | 2 | 71/240
R000110111101000 | 3 | 7/8
R0001101111010001 | 4 | 1/8
R00011011110100011 | 5 | 3/8
R00011011110101 | 2 | 71/240
R000110111101010 | 3 | 7/8
R0001101111010101 | 4 | 1/8
R00011011110101011 | 5 | 3/8
R00011011111 | 5 | 1/4
R000110111111 | 0 | 311801/480000
R0001101111110 | 1 | 8237989/4160000
R00011011111100 | 2 | 71/240
R000110111111000 | 3 | 7/8
R0001101111110000 | 4 | 7/40
R00011011111100000 | 5 | 3/8
R00011011111100001 | 5 | 3/8
R0001101111110001 | 4 | 7/40
R00011011111100010 | 5 | 3/8
R000110111111000101 | 0 | 325913/576000
R00011011111100011 | 5 | 3/8
R000110111111001 | 3 | 7/8
R00011011111101 | 2 | 71/240
R000110111111010 | 3 | 7/8
R0001101111110101 | 4 | 7/40
R00011011111101010 | 5 | 3/8
R00011011111101011 | 5 | 3/8
R000110111111011 | 3 | 7/8
R0001101111110111 | 4 | 7/40
R000111 | 0 | 347081/720000
R0001110 | 1 | 2880463/2080000
R00011100 | 2 | 11/40
R000111000 | 3 | 3/4
R0001110000 | 4 | 3/20
R00011100000 | 5 | 3/4
R000111000000 | 0 | 452921/1440000
R0001110000000 | 1 | 3283863/4160000
R0001110000001 | 1 | 3283863/4160000
R00011100001 | 5 | 3/4
R000111000010 | 0 | 452921/1440000
R0001110000101 | 1 | 3283863/4160000
R00011100001011 | 2 | 61/240
R0001110001 | 4 | 3/20
R00011100010 | 5 | 3/4
R000111000100 | 0 | 452921/1440000
R0001110001000 | 1 | 3283863/4160000
R0001110001001 | 1 | 3283863/4160000
R00011100010011 | 2 | 61/240
R000111000100110 | 3 | 7/8
R0001110001001100 | 4 | 1/8
R00011100010011001 | 5 | 5/8
R000111000100110010 | 0 | 382361/960000
R0001110001001101 | 4 | 1/8
R00011100010011011 | 5 | 5/8
R000111000100110110 | 0 | 382361/960000
R0001110001001101101 | 1 | 695753/640000
R00011100011 | 5 | 3/4
R000111000110 | 0 | 452921/1440000
R0001110001100 | 1 | 3283863/4160000
R00011100011001 | 2 | 61/240
R0001110001101 | 1 | 3283863/4160000
R00011100011011 | 2 | 61/240
R000111000110110 | 3 | 7/8
R0001110001101100 | 4 | 7/40
R00011100011011000 | 5 | 5/8
R000111000110110000 | 0 | 382361/960000
R00011100011011001 | 5 | 5/8
R000111000110110010 | 0 | 382361/960000
R0001110001101101 | 4 | 7/40
R00011100011011010 | 5 | 5/8
R000111000110110100 | 0 | 382361/960000
R0001110001101101000 | 1 | 695753/640000
R0001110001101101001 | 1 | 695753/640000
R00011100011011010011 | 2 | 39/160
R00011100011011011 | 5 | 5/8
R000111000110110110 | 0 | 382361/960000
R0001110001101101100 | 1 | 695753/640000
R0001110001101101101 | 1 | 695753/640000
R00011100011011011011 | 2 | 39/160
R000111001 | 3 | 3/4
R00011101 | 2 | 11/40
R000111010 | 3 | 3/4
R0001110101 | 4 | 3/20
R00011101010 | 5 | 3/4
R000111010100 | 0 | 452921/1440000
R0001110101000 | 1 | 8237989/4160000
R00011101010000 | 2 | 61/240
R0001110101001 | 1 | 8237989/4160000
R00011101010010 | 2 | 61/240
R00011101011 | 5 | 3/4
R000111010110 | 0 | 452921/1440000
R0001110101100 | 1 | 8237989/4160000
R00011101011000 | 2 | 61/240
R0001110101101 | 1 | 8237989/4160000
R00011101011010 | 2 | 61/240
R000111011 | 3 | 3/4
R0001110111 | 4 | 3/20
R00011101111 | 5 | 3/4
R000111011110 | 0 | 452921/1440000
R0001111 | 1 | 2880463/2080000
R00011110 | 2 | 11/40
R000111100 | 3 | 3/4
R0001111000 | 4 | 3/20
R00011110000 | 5 | 3/4
R000111100000 | 0 | 311801/480000
R0001111000000 | 1 | 3283863/4160000
R00011110001 | 5 | 3/4
R000111100010 | 0 | 311801/480000
R0001111000100 | 1 | 3283863/4160000
R0001111001 | 4 | 3/20
R00011110010 | 5 | 3/4
R000111100100 | 0 | 311801/480000
R0001111001000 | 1 | 3283863/4160000
R00011110010001 | 2 | 61/240
R000111100100010 | 3 | 7/8
R0001111001000100 | 4 | 1/8
R00011110010001001 | 5 | 5/8
R0001111001000101 | 4 | 1/8
R00011110010001011 | 5 | 5/8
R000111100100010110 | 0 | 325913/576000
R0001111001000101100 | 1 | 695753/640000
R00011110011 | 5 | 3/4
R000111100110 | 0 | 311801/480000
R0001111001100 | 1 | 3283863/4160000
R00011110011001 | 2 | 61/240
R000111100110010 | 3 | 7/8
R0001111001100100 | 4 | 7/40
R00011110011001000 | 5 | 5/8
R000111100110010000 | 0 | 325913/576000
R0001111001100101 | 4 | 7/40
R00011110011001010 | 5 | 5/8
R000111100110010100 | 0 | 325913/576000
R0001111001100101000 | 1 | 695753/640000
R00011110011001010000 | 2 | 39/160
R000111100110010100000 | 3 | 15/16
R0001111001100101000001 | 4 | 13/80
R00011110011001010000010 | 5 | 9/16
R00011110011001010000011 | 5 | 9/16
R00011110011001010001 | 2 | 39/160
R00011110011001011 | 5 | 5/8
R000111100110010110 | 0 | 325913/576000
R0001111001100101100 | 1 | 695753/640000
R00011110011001011000 | 2 | 39/160
R00011111 | 2 | 11/40
R000111110 | 3 | 3/4
R0001111101 | 4 | 3/20
R00011111010 | 5 | 3/4
R000111110100 | 0 | 311801/480000
R0001111101000 | 1 | 8237989/4160000
R00011111010000 | 2 | 61/240
R00011111011 | 5 | 3/4
R000111110110 | 0 | 311801/480000
R0001111101100 | 1 | 8237989/4160000
R00011111011000 | 2 | 61/240
R001 | 3 | 1/2
R0011 | 4 | 1/10
R00111 | 5 | 1/2
R001110 | 0 | 347081/720000
R001111 | 0 | 347081/720000
R01 | 2 | 19/60
R010 | 3 | 1/2
R0101 | 4 | 1/10
R01010 | 5 | 1/2
R010100 | 0 | 347081/720000
R0101001 | 1 | 7834589/2080000
R01010010 | 2 | 11/40
R010101 | 0 | 347081/720000
R01011 | 5 | 1/2
R010110 | 0 | 347081/720000
R0101101 | 1 | 7834589/2080000
R01011010 | 2 | 11/40
R010110101 | 3 | 3/4
R0101101011 | 4 | 3/20
R01011010110 | 5 | 1/4
R010110101101 | 0 | 311801/480000
R01011010111 | 5 | 1/4
R010110101111 | 0 | 311801/480000
R010111 | 0 | 347081/720000
R011 | 3 | 1/2
R0111 | 4 | 1/10
R01111 | 5 | 1/2
R011110 | 0 | 347081/720000
R0111101 | 1 | 7834589/2080000
R1 | 1 | 2678763/1040000
R10 | 2 | 19/60
R100 | 3 | 1/2
R1001 | 4 | 1/10
R10011 | 5 | 1/2
Empty boxes: tag | twelve endpoints | reason
R000100010111100 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R00010001011111 | 452921/1440000 | 347081/720000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R000100110011000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 1/2 | 3/4 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R00010011001101 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 1/2 | 3/4 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R0001001100111 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 1/2 | 3/4 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R0001001101011 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 0 | 1/20 | 1/4 | 1/2 | interval
R000100110111000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R00010011011101 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R0001001101111 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 1/20 | 1/10 | 1/4 | 1/2 | interval
R000110000101110011110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 1/8 | 3/20 | 3/8 | 1/2 | interval
R000110000101110101110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 1/10 | 1/8 | 3/8 | 1/2 | interval
R000110000101110110010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 1/8 | 3/20 | 1/4 | 3/8 | interval
R000110000101110111010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 1/8 | 3/20 | 3/8 | 1/2 | interval
R000110000101110111110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 1/8 | 3/20 | 3/8 | 1/2 | interval
R000110000111110000010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 3/20 | 7/40 | 1/4 | 3/8 | interval
R000110000111110001010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 3/20 | 7/40 | 3/8 | 1/2 | interval
R000110000111110001110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 3/20 | 7/40 | 3/8 | 1/2 | interval
R000110000111110011010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R000110000111110011110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R000110000111110100010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 3/20 | 7/40 | 1/4 | 3/8 | interval
R000110000111110101010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 | interval
R000110000111110101100101110 | 2535407/5760000 | 347081/720000 | 3122503/3328000 |
  695753/640000 | 7/30 | 229/960 | 15/16 | 1 | 3/20 | 13/80 | 7/16 | 1/2 |
  interval
R000110000111110101100111110 | 2535407/5760000 | 347081/720000 | 3122503/3328000 |
  695753/640000 | 7/30 | 229/960 | 15/16 | 1 | 13/80 | 7/40 | 7/16 | 1/2 |
  interval
R000110000111110101110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 | interval
R000110000111110101111101010 | 382361/960000 | 2535407/5760000 | 20566641/16640000
  | 2880463/2080000 | 39/160 | 239/960 | 15/16 | 1 | 3/20 | 13/80 | 7/16 | 1/2 |
  interval
R000110000111110101111101110 | 2535407/5760000 | 347081/720000 | 20566641/16640000
  | 2880463/2080000 | 39/160 | 239/960 | 15/16 | 1 | 3/20 | 13/80 | 7/16 | 1/2 |
  interval
R000110000111110101111111010 | 382361/960000 | 2535407/5760000 | 20566641/16640000
  | 2880463/2080000 | 39/160 | 239/960 | 15/16 | 1 | 13/80 | 7/40 | 7/16 | 1/2 |
  interval
R000110000111110101111111110 | 2535407/5760000 | 347081/720000 | 20566641/16640000
  | 2880463/2080000 | 39/160 | 239/960 | 15/16 | 1 | 13/80 | 7/40 | 7/16 | 1/2 |
  interval
R000110000111110111010 | 452921/1440000 | 382361/960000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R000110000111110111110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R000110010100000 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 0 | 1/4 | interval
R00011001010001 | 147/1000 | 452921/1440000 | 8237989/4160000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 0 | 1/4 | interval
R000110010101000 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R00011001010101 | 147/1000 | 452921/1440000 | 8237989/4160000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R000110010101100 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R000110010101101111110 | 382361/960000 | 347081/720000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 1/8 | 3/20 | 3/8 | 1/2 | interval
R00011001010111 | 452921/1440000 | 347081/720000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R000110010110000 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | interval
R00011001011001 | 147/1000 | 452921/1440000 | 8237989/4160000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | interval
R000110010110100 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | interval
R00011001011011 | 452921/1440000 | 347081/720000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | interval
R000110010111000 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R00011001011101 | 147/1000 | 452921/1440000 | 8237989/4160000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R000110010111100 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R000110010111101100010 | 452921/1440000 | 382361/960000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 3/20 | 7/40 | 1/4 | 3/8 |
  interval
R000110010111101101010 | 452921/1440000 | 382361/960000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 |
  interval
R000110010111101101110 | 382361/960000 | 347081/720000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 |
  interval
R000110010111101111010 | 452921/1440000 | 382361/960000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R000110010111101111110 | 382361/960000 | 347081/720000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R00011001011111 | 452921/1440000 | 347081/720000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R000110100101010011010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 1/8 | 3/20 | 3/8 | 1/2 | interval
R000110100101010101010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 1/10 | 1/8 | 3/8 | 1/2 | interval
R000110100101010111010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 1/8 | 3/20 | 3/8 | 1/2 | interval
R000110100111010001010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 3/20 | 7/40 | 3/8 | 1/2 | interval
R000110100111010011010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 3/4 | 7/8 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R000110100111010101010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 | interval
R000110100111010111010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R0001101100001 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 0 | 1/4 | interval
R000110110001000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 1/2 | 3/4 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R00011011000101 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R0001101100011 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 1/2 | 3/4 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R000110110010000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 1/2 | 3/4 | 3/20 | 1/5 | 0 | 1/4 | interval
R00011011001001 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 0 | 1/4 | interval
R0001101100101 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 0 | 1/4 | interval
R000110110011000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 1/2 | 3/4 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R00011011001101 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R0001101100111 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 1/2 | 3/4 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R000110110100000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 0 | 1/4 | interval
R00011011010001 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 0 | 1/4 | interval
R0001101101001 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 0 | 1/4 | interval
R000110110101000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R000110110101001111010 | 347081/720000 | 325913/576000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 1/8 | 3/20 | 3/8 | 1/2 | interval
R00011011010101 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R0001101101011 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/4 | 1/2 | interval
R000110110110000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | interval
R00011011011001 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | interval
R0001101101101 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 0 | 1/4 | interval
R000110110111000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R000110110111001101010 | 347081/720000 | 325913/576000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 3/20 | 7/40 | 3/8 | 1/2 |
  interval
R000110110111001111010 | 347081/720000 | 325913/576000 | 2799783/1664000 |
  8237989/4160000 | 61/240 | 127/480 | 7/8 | 1 | 7/40 | 1/5 | 3/8 | 1/2 | interval
R00011011011101 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R0001101101111 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/4 | 1/2 | interval
R000111000110110100110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 | interval
R000111000110110110110 | 382361/960000 | 347081/720000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 7/40 | 1/5 | 1/2 | 5/8 | interval
R000111010100000 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | interval
R00011101010001 | 147/1000 | 452921/1440000 | 8237989/4160000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | interval
R000111010100100 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | interval
R00011101010011 | 452921/1440000 | 347081/720000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | interval
R000111010110000 | 147/1000 | 452921/1440000 | 2880463/2080000 | 8237989/4160000 |
  7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | interval
R00011101011001 | 147/1000 | 452921/1440000 | 8237989/4160000 | 2678763/1040000 |
  7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | interval
R000111010110100 | 452921/1440000 | 347081/720000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | interval
R00011101011011 | 452921/1440000 | 347081/720000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | interval
R000111100110010100010 | 347081/720000 | 325913/576000 | 695753/640000 |
  2880463/2080000 | 7/30 | 39/160 | 7/8 | 1 | 3/20 | 7/40 | 1/2 | 5/8 | interval
R000111110100000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | interval
R00011111010001 | 347081/720000 | 311801/480000 | 8237989/4160000 |
  2678763/1040000 | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | interval
R0001111101001 | 311801/480000 | 294161/360000 | 2880463/2080000 | 2678763/1040000
  | 7/30 | 11/40 | 3/4 | 1 | 1/10 | 3/20 | 1/2 | 3/4 | interval
R000111110110000 | 347081/720000 | 311801/480000 | 2880463/2080000 |
  8237989/4160000 | 7/30 | 61/240 | 3/4 | 1 | 3/20 | 1/5 | 1/2 | 3/4 | interval
R00011111011001 | 347081/720000 | 311801/480000 | 8237989/4160000 |
