S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R00011000011111111111 | 2 | 127/480
R000110000111111111110 | 3 | 15/16
R0001100001111111111101 | 4 | 3/16
R00011000011111111111010 | 5 | 7/16
R000110001 | 3 | 3/4
R0001100010 | 4 | 3/20
R0001100011 | 4 | 3/20
R00011000111 | 5 | 1/4
R000110001111 | 0 | 452921/1440000
R00011001 | 2 | 11/40
R000110010 | 3 | 3/4
R0001100101 | 4 | 3/20
R00011001010 | 5 | 1/4
R000110010100 | 0 | 452921/1440000
R0001100101000 | 1 | 8237989/4160000
R00011001010000 | 2 | 61/240
R000110010101 | 0 | 452921/1440000
R0001100101010 | 1 | 8237989/4160000
R00011001010100 | 2 | 61/240
R0001100101011 | 1 | 8237989/4160000
R00011001010110 | 2 | 61/240
R000110010101101 | 3 | 7/8
R0001100101011010 | 4 | 1/8
R00011001010110101 | 5 | 3/8
R000110010101101010 | 0 | 382361/960000
R000110010101101011 | 0 | 382361/960000
R0001100101011011 | 4 | 1/8
R00011001010110111 | 5 | 3/8
R000110010101101110 | 0 | 382361/960000
R000110010101101111 | 0 | 382361/960000
R0001100101011011111 | 1 | 2799783/1664000
R00011001010110111110 | 2 | 127/480
R000110010101101111100 | 3 | 15/16
R0001100101011011111001 | 4 | 11/80
R00011001010110111110011 | 5 | 7/16
R00011001010110111111 | 2 | 127/480
R00011001011 | 5 | 1/4
R000110010110 | 0 | 452921/1440000
R0001100101100 | 1 | 8237989/4160000
R00011001011000 | 2 | 61/240
R000110010110001 | 3 | 7/8
R0001100101101 | 1 | 8237989/4160000
R00011001011010 | 2 | 61/240
R000110010111 | 0 | 452921/1440000
R0001100101110 | 1 | 8237989/4160000
R00011001011100 | 2 | 61/240
R000110010111001 | 3 | 7/8
R0001100101111 | 1 | 8237989/4160000
R00011001011110 | 2 | 61/240
R000110010111101 | 3 | 7/8
R0001100101111010 | 4 | 7/40
R00011001011110100 | 5 | 3/8
R000110010111101000 | 0 | 382361/960000
R0001100101111010000 | 1 | 2799783/1664000
R000110010111101001 | 0 | 382361/960000
R0001100101111010010 | 1 | 2799783/1664000
R0001100101111010011 | 1 | 2799783/1664000
R00011001011110100110 | 2 | 127/480
R000110010111101001100 | 3 | 13/16
R00011001011110101 | 5 | 3/8
R000110010111101011 | 0 | 382361/960000
R0001100101111010111 | 1 | 2799783/1664000
R0001100101111011 | 4 | 7/40
