Exact whole-source convex certificate. Every number is rational; maxima include all feasible vertices.

| bin | b lower | b upper | initial gamma | normalized capacity upper | pieces |
|---|---|---|---|---|---|
|6|3153/5000|1589/2500|2066009/10000000|3264253/20000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|6|1589/2500|3203/5000|3264253/20000000|625311/5000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|6|3203/5000|807/1250|625311/5000000|11111677/100000000|[3, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|6|807/1250|3253/5000|11111677/100000000|1233563/12500000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|6|3253/5000|6969768750/10693725281|1233563/12500000|9590323/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|6|6969768750/10693725281|1639/2500|9590323/100000000|4350523/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|6|1639/2500|3303/5000|4350523/50000000|3804229/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|6|3303/5000|416/625|3804229/50000000|823647/12500000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|6|416/625|5733196875/8563298503|823647/12500000|18261/312500|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|6|5733196875/8563298503|3353/5000|18261/312500|1128633/20000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|6|3353/5000|1689/2500|1128633/20000000|2385213/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|6|1689/2500|3403/5000|2385213/50000000|3970957/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|6|3403/5000|857/1250|3970957/100000000|81119/2500000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|6|857/1250|3453/5000|81119/2500000|1295917/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|6|3453/5000|1739/2500|1295917/50000000|100609/5000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
