FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
4.4.2 | 2 | 4 | 2 | 4 | 1/2 | 1 | 41099/100000 | 49099/100000 | 1897487088
4.4.3 | 2 | 4 | 2 | 4 | 1 | 2 | 41099/100000 | 49099/100000 | 5780239642
4.4.4 | 2 | 4 | 2 | 4 | 2 | 4 | 41099/100000 | 49099/100000 | 7502495345
4.4.5 | 2 | 4 | 2 | 4 | 4 | 8 | 41099/100000 | 49099/100000 | 7424958971
4.5.1 | 2 | 4 | 4 | 8 | 1609/5400 | 1/2 | 41099/100000 | 28549/50000 | 206251548
4.5.2 | 2 | 4 | 4 | 8 | 1/2 | 1 | 41099/100000 | 28549/50000 | 834153791
4.5.3 | 2 | 4 | 4 | 8 | 1 | 2 | 41099/100000 | 28549/50000 | 4102039518
4.5.4 | 2 | 4 | 4 | 8 | 2 | 4 | 41099/100000 | 28549/50000 | 7331016758
4.5.5 | 2 | 4 | 4 | 8 | 4 | 8 | 41099/100000 | 28549/50000 | 7512487794
5.1.1 | 4 | 8 | 37/208 | 1/2 | 1609/5400 | 1/2 | 69099/100000 | 85099/100000 | 770800
5.1.2 | 4 | 8 | 37/208 | 1/2 | 1/2 | 1 | 69099/100000 | 85099/100000 | 3598171
5.1.3 | 4 | 8 | 37/208 | 1/2 | 1 | 2 | 69099/100000 | 85099/100000 | 10639871
5.1.4 | 4 | 8 | 37/208 | 1/2 | 2 | 4 | 69099/100000 | 85099/100000 | 14717347
5.1.5 | 4 | 8 | 37/208 | 1/2 | 4 | 8 | 69099/100000 | 85099/100000 | 14717347
5.2.1 | 4 | 8 | 1/2 | 1 | 1609/5400 | 1/2 | 69099/100000 | 85099/100000 | 770799
5.2.2 | 4 | 8 | 1/2 | 1 | 1/2 | 1 | 69099/100000 | 85099/100000 | 9112683
5.2.3 | 4 | 8 | 1/2 | 1 | 1 | 2 | 69099/100000 | 85099/100000 | 91202651
5.2.4 | 4 | 8 | 1/2 | 1 | 2 | 4 | 69099/100000 | 85099/100000 | 97338232
5.2.5 | 4 | 8 | 1/2 | 1 | 4 | 8 | 69099/100000 | 85099/100000 | 97338232
5.3.1 | 4 | 8 | 1 | 2 | 1609/5400 | 1/2 | 69099/100000 | 85099/100000 | 770799
5.3.2 | 4 | 8 | 1 | 2 | 1/2 | 1 | 69099/100000 | 85099/100000 | 9112683
5.3.3 | 4 | 8 | 1 | 2 | 1 | 2 | 69099/100000 | 85099/100000 | 1071140608
5.3.4 | 4 | 8 | 1 | 2 | 2 | 4 | 69099/100000 | 85099/100000 | 1618623053
5.3.5 | 4 | 8 | 1 | 2 | 4 | 8 | 69099/100000 | 85099/100000 | 1618623053
5.4.1 | 4 | 8 | 2 | 4 | 1609/5400 | 1/2 | 69099/100000 | 85099/100000 | 770799
